depth,gate_count,num_qubits,cx_count,remote_gate_count,teleportation_count,profile,bell_fidelity,latency,waiting_time,link_loss,gate_error,readout_error,output_fidelity
20,64,6,1,1,1,Excellent,0.9936,8.44,4.22,0.0092,0.0015902075445895503,0.0022501160143284437,0.984852
20,64,6,1,1,1,Excellent,0.9936,8.44,4.22,0.0092,0.0015902075445895503,0.0022501160143284437,0.981495
8,22,5,1,0,0,Excellent,0.9994,5.83,2.91,0.0031,0.001,0.002138414098638185,0.986864
8,22,5,1,0,0,Excellent,0.9994,5.83,2.91,0.0031,0.001,0.002138414098638185,0.984109
20,46,4,1,1,1,Average,0.9323,40.99,20.5,0.0677,0.01692558196464558,0.010950361754760675,0.993807
20,46,4,1,1,1,Average,0.9323,40.99,20.5,0.0677,0.01692558196464558,0.010950361754760675,0.99301
14,61,8,1,0,0,Excellent,0.9937,5.46,2.73,0.0096,0.0015648812207166296,0.0021503982184398612,0.912194
14,61,8,1,0,0,Excellent,0.9937,5.46,2.73,0.0096,0.0015648812207166296,0.0021503982184398612,0.911686
20,85,8,3,2,2,Average,0.9479,25.44,12.72,0.0534,0.013016334454143325,0.010933806417528107,0.890434
20,85,8,3,2,2,Average,0.9479,25.44,12.72,0.0534,0.013016334454143325,0.010933806417528107,0.90542
21,47,4,1,1,1,Average,0.9532,32.25,16.13,0.0428,0.011699082848109332,0.008286598821270684,0.995573
21,47,4,1,1,1,Average,0.9532,32.25,16.13,0.0428,0.011699082848109332,0.008286598821270684,0.991838
18,58,6,2,2,2,Excellent,0.9951,7.27,3.64,0.0031,0.001228108427235447,0.0029403694536171542,0.989799
18,58,6,2,2,2,Excellent,0.9951,7.27,3.64,0.0031,0.001228108427235447,0.0029403694536171542,0.983573
6,32,7,1,0,0,Poor,0.9136,70.66,35.33,0.085,0.02159720243001137,0.026346647310833603,0.932481
6,32,7,1,0,0,Poor,0.9136,70.66,35.33,0.085,0.02159720243001137,0.026346647310833603,0.932265
10,45,8,3,2,2,Average,0.9383,33.14,16.57,0.0579,0.015428935082815176,0.014785174526573555,0.937298
10,45,8,3,2,2,Average,0.9383,33.14,16.57,0.0579,0.015428935082815176,0.014785174526573555,0.935809
6,33,8,2,1,1,Poor,0.8547,54.66,27.33,0.1494,0.03631281809169398,0.02192171841268175,0.917558
6,33,8,2,1,1,Poor,0.8547,54.66,27.33,0.1494,0.03631281809169398,0.02192171841268175,0.914063
15,71,7,1,0,0,Average,0.9504,32.46,16.23,0.0493,0.012394446314820062,0.010654291781858508,0.934212
15,71,7,1,0,0,Average,0.9504,32.46,16.23,0.0493,0.012394446314820062,0.010654291781858508,0.923572
18,65,5,2,2,2,Good,0.9836,19.22,9.61,0.0202,0.004092888820098284,0.006456107737714352,0.986256
18,65,5,2,2,2,Good,0.9836,19.22,9.61,0.0202,0.004092888820098284,0.006456107737714352,0.989962
13,35,5,1,0,0,Poor,0.8634,61.68,30.84,0.132,0.0341517712542419,0.026170577273477935,0.960303
13,35,5,1,0,0,Poor,0.8634,61.68,30.84,0.132,0.0341517712542419,0.026170577273477935,0.92645
21,46,5,1,1,1,Excellent,0.9887,5.63,2.82,0.0097,0.0028333972156137366,0.0012007292043297046,0.988243
21,46,5,1,1,1,Excellent,0.9887,5.63,2.82,0.0097,0.0028333972156137366,0.0012007292043297046,0.988795
9,39,7,1,1,1,Poor,0.9222,50.77,25.38,0.0815,0.019455775890965893,0.02954935191061659,0.935637
9,39,7,1,1,1,Poor,0.9222,50.77,25.38,0.0815,0.019455775890965893,0.02954935191061659,0.940802
21,77,4,1,1,1,Average,0.9438,30.16,15.08,0.0577,0.014052454354420651,0.013814122338805532,0.994782
21,77,4,1,1,1,Average,0.9438,30.16,15.08,0.0577,0.014052454354420651,0.013814122338805532,0.994509
18,85,8,1,1,1,Average,0.9344,38.8,19.4,0.0655,0.016404518115617772,0.011328128101581281,0.870512
