depth,gate_count,cx_count,remote_gate_count,teleportation_count,bell_fidelity,latency,waiting_time,link_loss,ideal_counts,noisy_counts,output_fidelity
6,11,0,0,0,0.891,32.22,30.52,0.077,"{'1011': 207, '1111': 145, '0000': 287, '0100': 385}","{'0111': 10, '1001': 7, '1000': 8, '0101': 18, '1110': 9, '0001': 11, '0011': 11, '1101': 13, '1111': 140, '1011': 191, '1010': 6, '0110': 22, '1100': 10, '0100': 335, '0010': 9, '0000': 224}",0.8691
7,16,0,0,0,0.892,50.96,6.52,0.189,"{'1000': 18, '1001': 43, '1011': 27, '1111': 32, '1101': 32, '0110': 202, '1100': 22, '0100': 201, '0000': 186, '0010': 212, '1010': 26, '1110': 23}","{'1010': 31, '1111': 34, '1101': 41, '1001': 37, '1000': 31, '1110': 25, '0100': 207, '1100': 21, '0110': 161, '1011': 34, '0000': 225, '0010': 177}",0.9189
8,15,1,0,0,0.883,97.18,13.05,0.154,"{'1100': 2, '1111': 382, '1101': 140, '1000': 500}","{'1010': 3, '1001': 2, '0101': 10, '0000': 5, '1100': 19, '0100': 5, '1110': 6, '1000': 448, '0111': 3, '1101': 175, '1111': 347, '0011': 1}",0.915
6,12,0,0,0,0.91,50.38,18.24,0.11,"{'1010': 29, '0010': 496, '0000': 470, '1000': 29}","{'0111': 3, '1001': 6, '0101': 5, '1000': 39, '1110': 4, '0001': 9, '0011': 11, '1101': 1, '1111': 8, '1010': 41, '1100': 5, '0100': 19, '0110': 21, '0010': 433, '0000': 419}",0.8887
9,20,1,1,1,0.999,69.99,40.45,0.046,"{'1010': 15, '0000': 8, '0010': 6, '1000': 20, '0011': 95, '0001': 192, '1001': 446, '1011': 242}","{'0110': 10, '0111': 8, '0000': 33, '1010': 18, '0101': 8, '1011': 189, '0100': 14, '1100': 15, '1000': 34, '1110': 14, '1001': 328, '0011': 113, '0001': 183, '1101': 26, '1111': 14, '0010': 17}",0.8242
9,20,0,0,0,0.888,51.99,38.93,0.182,"{'0010': 8, '0110': 3, '0111': 502, '1010': 511}","{'0100': 1, '1100': 4, '0000': 2, '0110': 18, '1001': 8, '0101': 8, '1011': 38, '0001': 1, '0011': 23, '0111': 405, '1101': 10, '1111': 20, '0010': 20, '1110': 31, '1000': 9, '1010': 426}",0.8223
7,15,0,0,0,0.945,97.91,49.46,0.029,"{'0110': 11, '0000': 22, '1000': 753, '1110': 238}","{'1111': 1, '0101': 1, '0010': 3, '1001': 12, '0111': 11, '0001': 17, '0011': 4, '1011': 1, '0110': 16, '1010': 7, '0100': 10, '1100': 8, '1000': 679, '1110': 210, '0000': 44}",0.9004
7,14,0,0,0,0.884,42.39,13.9,0.082,"{'1100': 278, '1110': 105, '1010': 110, '0110': 118, '0010': 115, '0000': 298}","{'1011': 1, '0101': 1, '0111': 3, '1001': 2, '1111': 4, '1101': 4, '0011': 1, '0001': 4, '0110': 121, '1010': 125, '1000': 6, '0100': 4, '1100': 275, '1110': 100, '0010': 106, '0000': 267}",0.9531
8,14,0,0,0,0.935,94.13,27.16,0.097,"{'0010': 9, '0000': 145, '1010': 870}","{'1001': 3, '0111': 3, '0001': 6, '0011': 15, '0010': 29, '0000': 142, '1100': 2, '0100': 4, '0110': 9, '1110': 17, '1000': 14, '1011': 8, '1010': 772}",0.9014
7,15,0,0,0,0.851,46.06,36.71,0.031,"{'1001': 79, '0011': 158, '1111': 16, '0001': 771}","{'1010': 1, '1110': 2, '0110': 5, '1000': 15, '1111': 15, '1101': 17, '1011': 12, '0000': 21, '0010': 6, '0001': 653, '0011': 148, '0111': 12, '1001': 78, '0101': 20, '1100': 3, '0100': 16}",0.873
9,17,0,0,0,0.875,60.93,26.79,0.179,"{'0110': 204, '0010': 820}","{'0111': 1, '1110': 7, '1111': 13, '1101': 21, '1010': 12, '0101': 7, '1000': 15, '1100': 1, '0100': 23, '0110': 184, '0011': 3, '0001': 19, '1001': 25, '1011': 12, '0000': 40, '0010': 641}",0.8057
6,11,0,0,0,0.945,53.68,6.69,0.041,"{'0000': 6, '0001': 1018}","{'1110': 1, '1001': 5, '0110': 13, '0001': 962, '0100': 8, '0011': 17, '0111': 9, '0000': 9}",0.9453
5,11,0,0,0,0.949,24.44,38.52,0.02,{'0000': 1024},"{'1100': 14, '0100': 11, '1000': 6, '0000': 993}",0.9697
10,23,0,0,0,0.928,45.18,29.19,0.097,"{'1011': 8, '0000': 21, '0110': 37, '1001': 34, '0011': 74, '0001': 64, '1110': 82, '0100': 14, '1100': 41, '1000': 6, '1010': 9, '0111': 174, '1101': 199, '1111': 52, '0101': 165, '0010': 44}","{'0010': 33, '1000': 9, '1011': 10, '1001': 42, '1110': 83, '0000': 24, '0100': 18, '1100': 32, '1010': 20, '0110': 51, '0011': 82, '0001': 70, '1111': 58, '1101': 167, '0101': 171, '0111': 154}",0.9297
9,14,1,1,1,0.904,57.02,13.9,0.054,{'0000': 1024},"{'1001': 2, '1011': 3, '1111': 3, '1101': 1, '0111': 4, '0101': 12, '0001': 23, '0011': 16, '0100': 32, '1100': 17, '1110': 6, '1000': 28, '1010': 7, '0110': 21, '0010': 24, '0000': 825}",0.8057
10,15,0,0,0,0.87,10.72,25.6,0.153,{'1000': 1024},"{'0101': 4, '0110': 2, '1011': 10, '0010': 31, '1111': 5, '1101': 14, '0001': 28, '0011': 7, '0111': 19, '1001': 53, '1100': 48, '0100': 35, '1010': 53, '0000': 78, '1110': 19, '1000': 618}",0.6035
